sector,count,sum,mean,delay_percentage
Construction,1,1.0,1.0,100.0
Telecommunication,14,14.0,1.0,100.0
"Tourism, Hospitality & Wellness",2,2.0,1.0,100.0
Healthcare,4,4.0,1.0,100.0
Waste & Water,6,6.0,1.0,100.0
Steel,4,4.0,1.0,100.0
Water Resources,41,40.0,0.975609756097561,97.5609756097561
Transmission & Distribution,29,27.0,0.9310344827586207,93.10344827586206
Electricity Generation,25,23.0,0.92,92.0
Education,21,18.0,0.8571428571428571,85.71428571428571
Metals & Mining,6,5.0,0.8333333333333334,83.33333333333334
Coal,32,26.0,0.8125,81.25
Urban Public Transport,14,11.0,0.7857142857142857,78.57142857142857
Aviation & Aviation Infrastructure,19,14.0,0.7368421052631579,73.68421052631578
Shipping,3,2.0,0.6666666666666666,66.66666666666666
Railways,192,117.0,0.609375,60.9375
Energy Storage,17,10.0,0.5882352941176471,58.82352941176471
Inland Waterways,4,2.0,0.5,50.0
Real Estate,2,1.0,0.5,50.0
Oil & Gas,92,45.0,0.4891304347826087,48.91304347826087
