feature,importance
numeric__physical_progress,0.1470308702595105
numeric__expenditure_ratio,0.13108555640372596
numeric__expenditure,0.10102453905181702
numeric__progress_per_month,0.08087214719101782
numeric__original_cost,0.07782811662423686
numeric__project_duration_months,0.06094076966912474
numeric__project_duration_days,0.057266542670197
categorical__ministry_Ministry of Railways,0.019581471539467356
categorical__sector_Oil & Gas,0.01827540173975244
categorical__ministry_Ministry of Petroleum & Natural Gas,0.017616451158657353
categorical__sector_Railways,0.014999551099280393
categorical__agency_Western Railway [WR] - II,0.0139578468117539
"categorical__ministry_Department of Water Resources, River Development & GR",0.013942165889726162
categorical__agency_MinistryofPetroleumNaturalGas,0.012627893423553882
categorical__agency_EDTK[MC]/RB,0.010170658208887937
categorical__sector_Water Resources,0.008538416960783096
categorical__agency_Oil and Natural Gas Corporation Limited [ONGC],0.008452451620036244
categorical__agency_Central Railway [CR] - II,0.008009282195953007
categorical__ministry_Ministry of Power,0.00695302010786181
categorical__ministry_Ministry of Coal,0.0062380524261961
categorical__agency_North Western Railway [NWR],0.006148555479109711
categorical__agency_South Western Railway [SWR] - II,0.005780470294833393
categorical__agency_North Central Railway,0.005378650247916853
categorical__agency_Bharat Petroleum Corporation Limited [BPCL],0.005099686786173303
categorical__sector_Electricity Generation,0.005000811292436577
categorical__agency_PCE/WR,0.0047693006141663555
categorical__agency_Ministry of Petroleum & Natural Gas,0.004759739105778767
categorical__agency_SECR,0.0045221256035309345
categorical__agency_Hindustan Petroleum Corporation Limited,0.0038366274441361996
categorical__agency_Chennai Petroleum Corporation Limited [CPCL],0.0038230689701292475
categorical__agency_CR,0.0038107087306746036
categorical__agency_East Coast Railway [ECoR] - II,0.0037349575823485753
categorical__sector_Transmission & Distribution,0.0036825015976272076
categorical__agency_Indian Oil Corporation Limited [IOCL],0.0034208187048835087
categorical__sector_Coal,0.0032688286538473314
categorical__sector_Energy Storage,0.0032610362476812845
categorical__agency_Power Grid Corporation of India Limited [POWERGRID],0.0031302070090359862
categorical__ministry_Department of Telecommunications,0.003049068407940695
categorical__ministry_Ministry of Civil Aviation,0.0029969660395718517
categorical__agency_Mahanadi Coalfields Limited (MCL),0.0029750167408771257
categorical__agency_Eastern Railway [ER] - I,0.0029479900928831037
categorical__sector_Aviation & Aviation Infrastructure,0.0028652323282861614
categorical__agency_Indian Railway Construction International Limited [IRCON],0.0028255755913219683
categorical__agency_East Central Railway [ECR] - I,0.0028210080955527535
categorical__agency_Northeast Frontier Railway [NFR],0.0027510962947311316
categorical__agency_Airport Authority of India [AAI],0.002729411431466998
categorical__agency_East Central Railway [ECR] - II,0.0026886458513049054
categorical__agency_South Central Railway [SCR] - II,0.0026133433637422787
categorical__agency_Western Railway,0.0025026694304262683
