original_cost,expenditure,physical_progress,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,sector,ministry,agency,cost_overrun_flag
499,160.48,41,985.0,32.35873850197109,0.3216032064128256,1.2670456852791878,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
1217,1046.48,94,1677.0,55.09198423127464,0.8598849630238291,1.70623732856291,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
887,312.4,44,1013.0,33.27858081471748,0.3521984216459977,1.3221717670286277,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
612,464.55,77,810.0,26.609724047306177,0.7590686274509804,2.893679012345679,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
480,254.71,77,932.0,30.617608409986858,0.5306458333333334,2.514892703862661,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
219,206.33,97,2755.5,90.52233902759525,0.9421461187214611,0.6743353097526068,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
861,154.3,30,1451.0,47.66754270696452,0.1792102206736353,0.6293590627153688,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
480,427.04,67,1145.0,37.614980289093296,0.8896666666666667,1.7812052401746723,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
1305,666.42,63,1477.0,48.52168199737188,0.5106666666666666,1.298388625592417,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
1549,262.41,10,885.0,29.07358738501971,0.1694060684312459,0.343954802259887,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
256,130.0,88,1499.0,49.24441524310118,0.5078125,1.7870046697798534,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
3145,1250.66,21,3008.0,98.8173455978975,0.3976661367249602,0.2125132978723404,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),1
570,81.29,16,1694.0,55.65045992115637,0.1426140350877193,0.287508854781582,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],1
823,621.73,35,2605.0,85.57818659658344,0.7554434993924666,0.4089827255278311,Coal,Ministry of Coal,Western Coalfields Limited [WCL],0
8416,1694.31,17,2897.0,95.17082785808148,0.2013201045627376,0.178626164998274,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),0
861,441.05,41,4257.0,139.84888304862022,0.512253193960511,0.2931735964294104,Coal,Ministry of Coal,Ministry of Coal,0
502,302.2,59,13848.0,454.92772667542704,0.6019920318725099,0.1296909300982091,Coal,Ministry of Power,National Thermal Power Corporation [NTPC],1
647,518.46,98,1215.0,39.91458607095926,0.8013292117465225,2.45524279835391,Construction,Ministry of Housing & Urban Affairs,Central Public Works Department [CPWD],0
68,22.15,16,2755.5,90.52233902759525,0.325735294117647,0.6743353097526068,Education,Department of Higher Education,"Indian Institute of Technology, Bombay",1
420,360.72,99,973.0,31.964520367936924,0.8588571428571429,3.097183967112025,Education,Department of Higher Education,IISC Bangalore,1
425,484.52,96,1582.0,51.97109067017082,1.1400470588235294,1.847180783817952,Education,Department of Higher Education,"Indian Institute of Management, Jammu",1
1006,615.95,66,1802.0,59.19842312746386,0.6122763419483102,1.1148945615982242,Education,Department of Higher Education,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,1
474,167.55,4,3589.0,117.904073587385,0.3534810126582278,0.0339258846475341,Education,Department of Higher Education,Ministry of Education,1
252,183.36,78,1349.0,44.31668856767411,0.7276190476190477,1.7600593031875462,Education,Department of Higher Education,"Central University, Himachal Pradesh",1
618,509.24,94,1763.0,57.91721419185282,0.8240129449838188,1.623006239364719,Education,Department of Higher Education,"National Institute of Technology, Puducherry",0
686,121.56,7,1461.0,47.99605781865966,0.177201166180758,0.145845311430527,Education,Department of Higher Education,Ministry of Education,0
393,320.75,92,1870.0,61.4323258869908,0.8161577608142494,1.4975828877005348,Education,Department of Higher Education,"Indian Institute of Management, Sirmaur",1
500,382.6,87,1740.0,57.16162943495401,0.7652,1.522,Education,Department of Higher Education,"Indian Institute of Technology, Kharagpur",0
1229,835.55,97,889.0,29.204993429697765,0.6798616761594792,3.321349831271091,Education,Department of Higher Education,"Indian Institutes of Science Education and Research, Behrampur",0
