original_cost,expenditure,physical_progress,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,sector,ministry,agency,delay_flag
499,160.48,41,985.0,32.35873850197109,0.3216032064128256,1.2670456852791878,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
347,81.23,49,987.0,32.42444152431012,0.2340922190201729,1.5112056737588653,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
1217,1046.48,94,1677.0,55.09198423127464,0.8598849630238291,1.70623732856291,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
322,115.82,48,946.0,31.07752956636005,0.3596894409937888,1.544524312896406,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
320,56.54,36,965.0,31.701708278580814,0.1766875,1.135585492227979,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
266,45.54,31,1063.0,34.92115637319316,0.171203007518797,0.887714016933208,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
887,312.4,44,1013.0,33.27858081471748,0.3521984216459977,1.3221717670286277,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
612,464.55,77,810.0,26.609724047306177,0.7590686274509804,2.893679012345679,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
480,254.71,77,932.0,30.617608409986858,0.5306458333333334,2.514892703862661,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
219,206.33,97,2188.0,71.87910643889619,0.9421461187214611,0.8365771392879451,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
861,154.3,30,1451.0,47.66754270696452,0.1792102206736353,0.6293590627153688,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
480,427.04,67,1145.0,37.614980289093296,0.8896666666666667,1.7812052401746723,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
485,74.67,19,850.0,27.92378449408673,0.1539587628865979,0.6804235294117646,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
1305,666.42,63,1477.0,48.52168199737188,0.5106666666666666,1.298388625592417,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
2870,302.3,14,1114.0,36.596583442838366,0.1053310104529616,0.3825493716337523,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
1549,262.41,10,885.0,29.07358738501971,0.1694060684312459,0.343954802259887,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],0
256,130.0,88,1499.0,49.24441524310118,0.5078125,1.7870046697798534,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
1207,376.47,21,2635.0,86.56373193166885,0.3119055509527755,0.2425958254269449,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
328,98.15,44,681.0,22.371879106438897,0.2992378048780488,1.9667547723935388,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],1
459,274.35,92,3171.0,104.17214191852824,0.5977124183006537,0.8831535793125197,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],1
385,353.21,97,1758.0,57.75295663600525,0.9174285714285714,1.6795676905574517,Coal,Ministry of Coal,Ministry of Coal,1
334,138.69,48,912.0,29.96057818659658,0.4152395209580838,1.602105263157895,Coal,Ministry of Coal,Ministry of Coal,1
316,308.84,86,1962.0,64.45466491458606,0.9773417721518988,1.334271151885831,Coal,Ministry of Coal,Western Coalfields Limited [WCL],1
869,274.45,75,1852.0,60.84099868593955,0.3158227848101265,1.2327213822894167,Coal,Ministry of Coal,Ministry of Coal,1
236,237.12,98,2017.0,66.26149802890933,1.0047457627118643,1.4789885969261278,Coal,Ministry of Coal,Western Coalfields Limited [WCL],1
727,524.54,80,3519.0,115.60446780551904,0.7215130674002751,0.6920147769252629,Coal,Ministry of Coal,Western Coalfields Limited [WCL],1
836,778.77,89,1314.0,43.16688567674113,0.931543062200957,2.061765601217656,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],1
999,458.01,46,1348.0,44.2838370565046,0.4584684684684684,1.038753709198813,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],1
570,81.29,16,1694.0,55.65045992115637,0.1426140350877193,0.287508854781582,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],0
611,577.46,85,3027.0,99.44152431011828,0.9451063829787236,0.8547737033366369,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],1
11816,5328.96,77,2582.0,84.82260183968462,0.4509952606635071,0.9077769171185128,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],1
607,178.82,71,2100.0,68.98817345597897,0.2945963756177924,1.029161904761905,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],1
425,402.64,80,2799.0,91.95137976346912,0.9473882352941176,0.8700250089317614,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],1
279,210.07,82,1769.0,58.1143232588699,0.7529390681003584,1.4110118711136237,Coal,Ministry of Coal,SECL - CIL,1
298,46.39,20,1216.0,39.94743758212878,0.1556711409395973,0.5006578947368421,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],1
442,203.15,63,2781.0,91.36005256241786,0.4596153846153846,0.6895792880258901,Coal,Ministry of Coal,Singareni Collieries Company Limited [SCCL],1
492,202.18,40,1399.0,45.959264126149804,0.4109349593495935,0.8703359542530379,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],1
7612,4697.95,81,3527.0,115.86727989487515,0.6171768260641093,0.6990757017295153,Coal,Ministry of Coal,South Eastern Coalfields Limited [SECL],1
2662,787.75,43,3651.0,119.94086727989487,0.2959241172051089,0.3585099972610244,Coal,Ministry of Coal,Bharat Coking Coal Limited [BCCL],1
1230,624.17,81,2788.0,91.59001314060448,0.5074552845528455,0.8843758967001435,Coal,Ministry of Coal,BCCL - CIL,1
340,190.65,70,1171.0,38.469119579500656,0.5607352941176471,1.8196413321947051,Coal,Ministry of Coal,Ministry of Coal,1
1730,772.91,44,1601.0,52.59526938239159,0.4467687861271676,0.8365771392879451,Coal,Ministry of Coal,Northern Coalfields Limited [NCL],1
320,367.6,79,2042.0,67.08278580814718,1.1487500000000002,1.1776493633692455,Coal,Ministry of Coal,Western Coalfields Limited [WCL],1
511,488.57,76,2290.0,75.22996057818659,0.956105675146771,1.010235807860262,Coal,Ministry of Coal,Ministry of Coal,1
5195,3455.65,54,2979.0,97.8646517739816,0.6651876804619827,0.5517824773413897,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),0
1694,1278.66,42,2928.0,96.1892247043364,0.7548170011806375,0.4366393442622951,Coal,Ministry of Coal,Mahanadi Coalfields Limited (MCL),0
244,44.64,28,1974.0,64.84888304862024,0.1829508196721311,0.43177304964539,Coal,Ministry of Coal,Ministry of Coal,1
749,51.73,10,2251.0,73.94875164257556,0.0690654205607476,0.1352287872056863,Coal,Ministry of Coal,Eastern Coal Fields Limited [ECL],0
237,159.21,87,812.0,26.6754270696452,0.6717721518987342,3.261428571428572,Coal,Ministry of Coal,Western Coalfields Limited [WCL],1
502,302.2,59,13848.0,454.92772667542704,0.6019920318725099,0.1296909300982091,Coal,Ministry of Power,National Thermal Power Corporation [NTPC],0
1581,599.18,34,2188.0,71.87910643889619,0.37898798228969,0.8365771392879451,Coal,Ministry of Power,Damodar Valley Corporation,0
647,518.46,98,1215.0,39.91458607095926,0.8013292117465225,2.45524279835391,Construction,Ministry of Housing & Urban Affairs,Central Public Works Department [CPWD],1
68,22.15,16,2188.0,71.87910643889619,0.325735294117647,0.8365771392879451,Education,Department of Higher Education,"Indian Institute of Technology, Bombay",1
499,425.47,91,740.0,24.31011826544021,0.8526452905811623,3.7432972972972975,Education,Department of Higher Education,NIT Patna,1
420,360.72,99,973.0,31.964520367936924,0.8588571428571429,3.097183967112025,Education,Department of Higher Education,IISC Bangalore,1
246,185.83,93,2188.0,71.87910643889619,0.7554065040650407,0.8365771392879451,Education,Department of Higher Education,Banaras Hindu University,1
495,413.57,86,757.0,24.868593955321945,0.8354949494949495,3.4581770145310435,Education,Department of Higher Education,"National Institute of Technology, Meghalaya",1
425,484.52,96,1582.0,51.97109067017082,1.1400470588235294,1.847180783817952,Education,Department of Higher Education,"Indian Institute of Management, Jammu",1
1006,615.95,66,1802.0,59.19842312746386,0.6122763419483102,1.1148945615982242,Education,Department of Higher Education,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,1
474,167.55,4,3589.0,117.904073587385,0.3534810126582278,0.0339258846475341,Education,Department of Higher Education,Ministry of Education,0
491,301.44,76,2188.0,71.87910643889619,0.6139307535641548,0.8365771392879451,Education,Department of Higher Education,Gujarat,1
252,183.36,78,1349.0,44.31668856767411,0.7276190476190477,1.7600593031875462,Education,Department of Higher Education,"Central University, Himachal Pradesh",1
348,290.39,91,1368.0,44.94086727989488,0.8344540229885057,2.0248830409356726,Education,Department of Higher Education,"Indian intitue of Management, Amritsar",1
262,164.4,71,2188.0,71.87910643889619,0.6274809160305344,0.8365771392879451,Education,Department of Higher Education,"Indian Institute of Technology, Hyderabad",1
314,238.22,82,1617.0,53.120893561103806,0.7586624203821656,1.5436487322201609,Education,Department of Higher Education,Sikkim University,1
618,509.24,94,1763.0,57.91721419185282,0.8240129449838188,1.623006239364719,Education,Department of Higher Education,"National Institute of Technology, Puducherry",1
686,121.56,7,1461.0,47.99605781865966,0.177201166180758,0.145845311430527,Education,Department of Higher Education,Ministry of Education,0
393,320.75,92,1870.0,61.4323258869908,0.8161577608142494,1.4975828877005348,Education,Department of Higher Education,"Indian Institute of Management, Sirmaur",1
500,382.6,87,1740.0,57.16162943495401,0.7652,1.522,Education,Department of Higher Education,"Indian Institute of Technology, Kharagpur",1
167,72.09,58,2188.0,71.87910643889619,0.4316766467065868,0.8365771392879451,Education,Department of Higher Education,"Indian Institute of Technology, Mandi",0
1229,835.55,97,889.0,29.204993429697765,0.6798616761594792,3.321349831271091,Education,Department of Higher Education,"Indian Institutes of Science Education and Research, Behrampur",1
287,310.0,86,2188.0,71.87910643889619,1.0801393728222997,0.8365771392879451,Education,Department of Higher Education,"Indian Institute of Technology, Kharagpur",1
154,288.87,93,1624.0,53.350854139290405,1.8757792207792208,1.7431773399014778,Education,Department of Higher Education,Tezpur University,1
1813,769.57,68,2188.0,71.87910643889619,0.4244732487589631,0.8365771392879451,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],1
218,160.93,46,2188.0,71.87910643889619,0.7382110091743119,0.8365771392879451,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],1
384,303.5,41,1075.0,35.31537450722733,0.7903645833333334,1.1609674418604652,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],1
17238,20135.5,92,2188.0,71.87910643889619,1.1680879452372666,0.8365771392879451,Electricity Generation,Ministry of Coal,NLC India Limited [NLCIL],1
339,317.59,51,1741.0,57.19448094612352,0.9368436578171092,0.891694428489374,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,0
5492,4606.84,82,913.0,29.993429697766096,0.8388273852876912,2.7339320920043813,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
10439,11971.0,92,1767.0,58.04862023653088,1.1467573522368042,1.584878324844369,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
688,908.65,67,1861.0,61.136662286465175,1.3207122093023256,1.095905427189683,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
31876,3436.38,16,3286.0,107.95006570302232,0.1078046178943405,0.1482166768107121,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],0
1037,1085.39,91,2188.0,71.87910643889619,1.0466634522661524,0.8365771392879451,Electricity Generation,Ministry of Power,Damodar Valley Corporation,1
11089,12429.0,96,1793.0,58.90275952693823,1.1208404725403551,1.6298047964305635,Electricity Generation,Ministry of Power,THDC India Limited,1
4288,3055.87,66,1644.0,54.00788436268069,0.71265625,1.222043795620438,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1
1811,1742.92,51,1886.0,61.95795006570302,0.9624075096631696,0.8231389183457053,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
8112,6916.1,71,2008.0,65.9658344283837,0.8525764299802762,1.076314741035857,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1
17112,17365.0,81,1947.0,63.96189224704336,1.0147849462365592,1.2663790446841294,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],1
1382,1266.0,45,-1807.0,-59.36268068331143,0.9160636758321272,0.8365771392879451,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],1
938,1554.15,90,1156.0,37.97634691195795,1.6568763326226017,2.3698961937716265,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1
5282,1009.79,24,1825.0,59.95400788436268,0.1911756910261264,0.4003068493150685,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1
6285,24685.1,96,2556.0,83.96846254927726,3.9276213206046138,1.1432863849765258,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1
2615,956.76,29,1908.0,62.680683311432325,0.3658738049713193,0.4626624737945493,Electricity Generation,Ministry of Power,Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,1
11844,3975.0,26,1740.0,57.16162943495401,0.335612968591692,0.4548505747126437,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],1
2978,7123.58,77,2188.0,71.87910643889619,2.392068502350571,0.8365771392879451,Electricity Generation,Ministry of Power,National Thermal Power Corporation [NTPC],1
5748,4495.28,68,1826.0,59.98685939553219,0.7820598469032707,1.133581599123768,Electricity Generation,Ministry of Power,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],1
4826,7939.82,98,5822.0,191.26149802890933,1.6452175714877746,0.512387495705943,Electricity Generation,Ministry of Power,THDC India Limited,1
3860,4828.89,72,5229.0,171.78055190538765,1.2510077720207256,0.4191394148020654,Electricity Generation,Ministry of Power,THDC India Limited,1
281,227.54,50,2188.0,71.87910643889619,0.8097508896797153,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
854,712.3,99,2188.0,71.87910643889619,0.8340749414519906,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
240,31.23,50,2188.0,71.87910643889619,0.130125,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
156,49.78,39,2188.0,71.87910643889619,0.3191025641025641,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
827,619.5,85,2188.0,71.87910643889619,0.749093107617896,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],1
656,465.73,84,2188.0,71.87910643889619,0.7099542682926829,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],0
980,236.22,50,2188.0,71.87910643889619,0.2410408163265306,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
10088,7598.13,92,1095.0,35.972404730617605,0.7531849722442506,2.5575159817351603,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
829,297.77,62,2188.0,71.87910643889619,0.3591917973462002,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
678,675.25,67,2188.0,71.87910643889619,0.99594395280236,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,"Department of Water Resources, River Development & GR",1
9028,7071.08,84,2188.0,71.87910643889619,0.7832388125830748,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
10228,9701.95,86,2188.0,71.87910643889619,0.9485676574110288,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
461,111.57,51,2188.0,71.87910643889619,0.2420173535791757,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],0
43129,59524.4,87,2188.0,71.87910643889619,1.380147928308099,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,1
677,518.22,77,2188.0,71.87910643889619,0.7654652880354506,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Bharat Petroleum Corporation Limited [BPCL],1
384,110.44,48,2188.0,71.87910643889619,0.2876041666666666,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],0
2658,2192.68,94,2188.0,71.87910643889619,0.824936042136945,0.8365771392879451,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
1028,792.24,83,1383.0,45.43363994743758,0.7706614785992218,1.826840202458424,Healthcare,Ministry of Health & Family Welfare,Ministry of Health & Family Welfare,1
1828,1504.91,65,2213.0,72.70039421813404,0.8232549234135668,0.8940804338002711,Healthcare,Ministry of Health & Family Welfare,Central Public Works Department [CPWD],1
1299,349.41,28,2188.0,71.87910643889619,0.2689838337182448,0.8365771392879451,Healthcare,Ministry of Health & Family Welfare,Ministry of Health & Family Welfare,1
693,58.0,0,2513.0,82.55584756898817,0.0836940836940837,0.0,Healthcare,"Ministry of Ports, Shipping and Waterways",Mumbai Port Trust [MPT],1
5369,3432.34,70,2188.0,71.87910643889619,0.6392885081020675,0.973857404021938,Inland Waterways,"Ministry of Ports, Shipping and Waterways",Inland Waterways Authority of India [IWAI],1
1173,1971.0,80,4646.0,152.6281208935611,1.680306905370844,0.5241498062849764,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,0
2344,196.75,8,5642.0,185.34822601839684,0.0839377133105802,0.0431619992910315,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,0
748,10.43,1,4045.0,132.8843626806833,0.0139438502673796,0.0075253399258343,Inland Waterways,Ministry of Railways,East Coast Railway [ECoR] - II,1
166,135.0,65,2742.0,90.07884362680684,0.8132530120481928,0.7215900802334063,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],1
4103,3913.98,75,2080.0,68.3311432325887,0.9539312698025836,1.0975961538461538,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],1
1856,924.98,79,3135.0,102.98948751642575,0.4983728448275862,0.7670685805422648,Metals & Mining,Ministry of Mines,Hindustan Copper Limited [HCL],1
1381,650.04,51,2513.0,82.55584756898817,0.4707023895727733,0.6177636291285317,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],1
483,403.44,90,2758.0,90.60446780551904,0.8352795031055901,0.9933284989122552,Metals & Mining,Ministry of Mines,National Aluminium Company Limited [NALCO],1
1700,65.44,2,2698.0,88.63337713534823,0.0384941176470588,0.0225648628613788,Metals & Mining,Ministry of Steel,National Mineral Development Corporation Limited [NMDC],0
1421,1180.91,95,2188.0,71.87910643889619,0.8310415200562984,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited [HPCL],1
8797,6768.36,85,2188.0,71.87910643889619,0.7693941116289644,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
1750,4650.0,99,2188.0,71.87910643889619,2.657142857142857,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
165,89.94,72,2188.0,71.87910643889619,0.5450909090909091,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],1
228,9.01,20,2188.0,71.87910643889619,0.0395175438596491,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
277,185.18,67,2188.0,71.87910643889619,0.6685198555956678,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
14810,11728.0,87,2188.0,71.87910643889619,0.7918973666441593,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
367,339.19,93,2188.0,71.87910643889619,0.9242234332425068,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,1
199,36.78,29,2188.0,71.87910643889619,0.1848241206030151,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
768,99.02,35,2188.0,71.87910643889619,0.1289322916666666,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
34627,23977.5,88,2188.0,71.87910643889619,0.6924509775608629,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,1
31580,1342.27,10,2188.0,71.87910643889619,0.0425037998733375,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Chennai Petroleum Corporation Limited [CPCL],1
1377,329.43,26,2188.0,71.87910643889619,0.2392374727668845,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
2628,332.52,26,2188.0,71.87910643889619,0.1265296803652968,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Hindustan Petroleum Corporation Limited,0
5535,3836.09,0,2188.0,71.87910643889619,0.6930605239385728,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,0
865,68.01,2,2188.0,71.87910643889619,0.0786242774566474,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
501,111.55,5,2188.0,71.87910643889619,0.2226546906187624,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
609,58.15,2,2188.0,71.87910643889619,0.0954844006568144,0.8365771392879451,Oil & Gas,Ministry of Petroleum & Natural Gas,MinistryofPetroleumNaturalGas,0
