project_code,project_name,sector,physical_progress,expenditure,delay_probability,cost_overrun_probability,overall_risk_percentage,overall_risk_level,top_delay_factors,top_cost_overrun_factors
706718,C/o NITB Imphal Airport,Aviation & Aviation Infrastructure,41,160.48,0.785,0.0,39.25,Low Risk,progress_per_month: increases delay risk | project_duration_days: increases delay risk | project_duration_months: increases delay risk | ministry_Ministry of Railways: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: increases delay risk,expenditure_ratio: reduces cost-overrun risk | sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk | ministry_Ministry of Civil Aviation: reduces cost-overrun risk | physical_progress: reduces cost-overrun risk
701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Aviation & Aviation Infrastructure,94,1046.48,0.905,0.675,79.0,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk | expenditure: increases delay risk,expenditure_ratio: increases cost-overrun risk | physical_progress: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | expenditure: increases cost-overrun risk | progress_per_month: increases cost-overrun risk
701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Aviation & Aviation Infrastructure,44,312.4,0.8,0.0,40.0,Medium Risk,progress_per_month: increases delay risk | project_duration_months: increases delay risk | project_duration_days: increases delay risk | ministry_Ministry of Railways: increases delay risk | ministry_Ministry of Petroleum & Natural Gas: increases delay risk,expenditure_ratio: reduces cost-overrun risk | sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk | ministry_Ministry of Civil Aviation: reduces cost-overrun risk | physical_progress: reduces cost-overrun risk
701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Aviation & Aviation Infrastructure,77,464.55,0.97,0.0,48.5,Medium Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_months: increases delay risk,sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk | ministry_Ministry of Civil Aviation: reduces cost-overrun risk | expenditure_ratio: reduces cost-overrun risk | sector_Oil & Gas: reduces cost-overrun risk
701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Aviation & Aviation Infrastructure,77,254.71,0.885,0.0,44.25,Medium Risk,physical_progress: increases delay risk | progress_per_month: increases delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_days: increases delay risk | project_duration_months: increases delay risk,sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | expenditure_ratio: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk | ministry_Ministry of Civil Aviation: reduces cost-overrun risk | expenditure: reduces cost-overrun risk
612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",Aviation & Aviation Infrastructure,97,206.33,0.92,1.0,96.0,High Risk,physical_progress: increases delay risk | expenditure_ratio: increases delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_months: increases delay risk | project_duration_days: increases delay risk,expenditure_ratio: increases cost-overrun risk | physical_progress: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | progress_per_month: increases cost-overrun risk
611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Aviation & Aviation Infrastructure,30,154.3,0.53,0.185,35.75000000000001,Low Risk,expenditure_ratio: reduces delay risk | physical_progress: reduces delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_months: increases delay risk | expenditure: reduces delay risk,expenditure_ratio: reduces cost-overrun risk | physical_progress: reduces cost-overrun risk | sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk | expenditure: reduces cost-overrun risk
400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Aviation & Aviation Infrastructure,67,427.04,0.925,1.0,96.25,High Risk,expenditure_ratio: increases delay risk | progress_per_month: increases delay risk | physical_progress: increases delay risk | ministry_Ministry of Railways: increases delay risk | project_duration_months: increases delay risk,physical_progress: increases cost-overrun risk | expenditure_ratio: increases cost-overrun risk | progress_per_month: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | project_duration_days: increases cost-overrun risk
701126,"Development of Dholera International Greenfield Airport , Gujarat",Aviation & Aviation Infrastructure,63,666.42,0.18,1.0,59.0,Medium Risk,physical_progress: reduces delay risk | expenditure: reduces delay risk | original_cost: reduces delay risk | expenditure_ratio: reduces delay risk | ministry_Ministry of Civil Aviation: reduces delay risk,physical_progress: increases cost-overrun risk | progress_per_month: increases cost-overrun risk | expenditure: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | sector_Railways: increases cost-overrun risk
611495,Development of New Civil Enclave at Bagdogra Airport,Aviation & Aviation Infrastructure,10,262.41,0.065,0.0,3.25,Low Risk,physical_progress: reduces delay risk | expenditure_ratio: reduces delay risk | progress_per_month: reduces delay risk | expenditure: reduces delay risk | original_cost: reduces delay risk,expenditure_ratio: reduces cost-overrun risk | physical_progress: reduces cost-overrun risk | sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | ministry_Ministry of Civil Aviation: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk
701105,Goa Airport Terminal Building Extension Project,Aviation & Aviation Infrastructure,88,130.0,0.795,0.0,39.75,Low Risk,physical_progress: increases delay risk | ministry_Ministry of Railways: increases delay risk | progress_per_month: increases delay risk | sector_Railways: increases delay risk | expenditure: reduces delay risk,expenditure_ratio: reduces cost-overrun risk | sector_Aviation & Aviation Infrastructure: reduces cost-overrun risk | agency_Airport Authority of India [AAI]: reduces cost-overrun risk | expenditure: reduces cost-overrun risk | ministry_Ministry of Civil Aviation: reduces cost-overrun risk
400180,BONJEMEHARI EXPANSION OCP,Coal,16,81.29,0.035,1.0,51.74999999999999,Medium Risk,expenditure_ratio: reduces delay risk | progress_per_month: reduces delay risk | physical_progress: reduces delay risk | expenditure: reduces delay risk | agency_Eastern Coal Fields Limited [ECL]: reduces delay risk,agency_Eastern Coal Fields Limited [ECL]: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | sector_Coal: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | physical_progress: increases cost-overrun risk
603293,Badam Coal Mining project of NTPC,Coal,59,302.2,0.08,1.0,54.0,Medium Risk,progress_per_month: reduces delay risk | project_duration_months: reduces delay risk | project_duration_days: reduces delay risk | physical_progress: reduces delay risk | expenditure: reduces delay risk,ministry_Ministry of Power: increases cost-overrun risk | agency_National Thermal Power Corporation [NTPC]: increases cost-overrun risk | ministry_Ministry of Railways: increases cost-overrun risk | sector_Railways: increases cost-overrun risk | physical_progress: increases cost-overrun risk
