sr_no,sector,ministry,agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion,revised_completion,sanction_date,date_inconsistency_flag,missing_revised_cost_flag,missing_revised_completion_flag,missing_sanction_date_flag
1,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],706718,C/o NITB Imphal Airport,499,499.0,160.48,41,2024-07-13,2026-12-31,2021-11-01,0,0,0,0
2,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,347,,81.23,49,2025-08-14,2025-12-31,2022-12-01,0,1,0,0
3,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",1217,1216.9,1046.48,94,2023-07-31,2025-11-30,2018-12-27,0,0,0,0
4,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,322,,115.82,48,2026-01-02,2026-01-02,2023-06-01,0,1,0,0
5,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,320,,56.54,36,2026-01-21,2026-03-31,2023-06-01,0,1,0,0
6,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",266,,45.54,31,2026-01-27,2026-03-31,2023-03-01,0,1,0,0
7,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,887,887.0,312.4,44,2026-03-10,2026-10-03,2023-06-01,0,0,0,0
8,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,612,611.8,464.55,77,2022-09-05,2025-12-31,2020-06-17,0,0,0,0
9,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,480,480.0,254.71,77,2024-11-18,2025-10-31,2022-05-01,0,0,0,0
10,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",219,274.38,206.33,97,2024-11-19,2025-08-31,,0,0,0,1
11,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",861,861.37,154.3,30,2026-06-21,2026-06-21,2022-07-01,0,0,0,0
12,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",480,640.0,427.04,67,2021-09-14,2025-10-31,2018-07-27,0,0,0,0
13,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",485,,74.67,19,2025-09-28,2026-03-16,2023-06-01,0,1,0,0
14,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701126,"Development of Dholera International Greenfield Airport , Gujarat",1305,1551.0,666.42,63,2026-06-30,2026-06-30,2022-06-14,0,0,0,0
15,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701113,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",2870,,302.3,14,2027-07-20,2027-07-20,2024-07-01,0,1,0,0
16,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612194,Development of New Civil Enclave and associated works at Darbhanga Airport,912,,133.01,23,2026-01-07,,2024-07-01,0,1,1,0
17,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],611495,Development of New Civil Enclave at Bagdogra Airport,1549,1549.0,262.41,10,2027-01-03,2027-01-03,2024-08-01,0,0,0,0
18,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612183,Development of New Civil Enclave at Bihta,1413,,0.0,1,2027-09-30,,2024-08-28,0,1,1,0
19,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701122,Development of New Integrated Civil Enclave at Agra Airport,579,,74.3,14,2026-07-04,,2024-06-01,0,1,1,0
