sr_no,sector,ministry,agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion,revised_completion,sanction_date,date_inconsistency_flag,missing_revised_cost_flag,missing_revised_completion_flag,missing_sanction_date_flag,project_duration_days,project_duration_months,expenditure_ratio,progress_per_month,completion_date_difference_days,delay_days,delay_flag,cost_overrun,cost_overrun_percent,cost_overrun_flag
1,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],706718,C/o NITB Imphal Airport,499,499.0,160.48,41,2024-07-13,2026-12-31,2021-11-01,0,0,0,0,985.0,32.35873850197109,0.32160320641282564,1.2670456852791878,901.0,901.0,1.0,0.0,0.0,0.0
2,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,347,,81.23,49,2025-08-14,2025-12-31,2022-12-01,0,1,0,0,987.0,32.42444152431012,0.2340922190201729,1.5112056737588653,139.0,139.0,1.0,,,
3,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",1217,1216.9,1046.48,94,2023-07-31,2025-11-30,2018-12-27,0,0,0,0,1677.0,55.09198423127464,0.8598849630238291,1.70623732856291,853.0,853.0,1.0,-0.09999999999990905,-0.00821692686934339,0.0
4,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,322,,115.82,48,2026-01-02,2026-01-02,2023-06-01,0,1,0,0,946.0,31.077529566360052,0.3596894409937888,1.544524312896406,0.0,0.0,0.0,,,
5,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,320,,56.54,36,2026-01-21,2026-03-31,2023-06-01,0,1,0,0,965.0,31.701708278580814,0.1766875,1.1355854922279793,69.0,69.0,1.0,,,
6,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",266,,45.54,31,2026-01-27,2026-03-31,2023-03-01,0,1,0,0,1063.0,34.92115637319316,0.171203007518797,0.887714016933208,63.0,63.0,1.0,,,
7,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701128,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,887,887.0,312.4,44,2026-03-10,2026-10-03,2023-06-01,0,0,0,0,1013.0,33.27858081471748,0.35219842164599774,1.3221717670286277,207.0,207.0,1.0,0.0,0.0,0.0
8,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,612,611.8,464.55,77,2022-09-05,2025-12-31,2020-06-17,0,0,0,0,810.0,26.609724047306177,0.7590686274509804,2.893679012345679,1213.0,1213.0,1.0,-0.20000000000004547,-0.03267973856209894,0.0
9,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],701127,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,480,480.0,254.71,77,2024-11-18,2025-10-31,2022-05-01,0,0,0,0,932.0,30.617608409986858,0.5306458333333334,2.514892703862661,347.0,347.0,1.0,0.0,0.0,0.0
10,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,Airport Authority of India [AAI],612063,"Construction of New Terminal Building, Second Link Taxi Track, Apron Expansion, and associated works at Prayagraj Airport- On Design & Build Basis.",219,274.38,206.33,97,2024-11-19,2025-08-31,,0,0,0,1,,,0.9421461187214613,,285.0,285.0,1.0,55.379999999999995,25.28767123287671,1.0
