feature,mean_abs_shap
numeric__physical_progress,0.08828868411859092
numeric__expenditure_ratio,0.06729365045464086
numeric__expenditure,0.04527135792867316
numeric__progress_per_month,0.04032791165762477
categorical__ministry_Ministry of Railways,0.031931714606469326
categorical__ministry_Ministry of Petroleum & Natural Gas,0.02477112029105744
numeric__project_duration_months,0.02433731161485853
categorical__sector_Oil & Gas,0.021365042576256044
numeric__original_cost,0.020248060913725136
numeric__project_duration_days,0.0195816767613206
categorical__sector_Railways,0.01379019324128218
"categorical__ministry_Department of Water Resources, River Development & GR",0.013737790861986437
categorical__agency_MinistryofPetroleumNaturalGas,0.01099288448677344
categorical__agency_Western Railway [WR] - II,0.008557900416772854
categorical__sector_Water Resources,0.00756409120170121
categorical__agency_Central Railway [CR] - II,0.006154664925819895
categorical__agency_EDTK[MC]/RB,0.0056413472485265514
categorical__ministry_Ministry of Coal,0.005247444183447146
categorical__ministry_Ministry of Power,0.004806811748829784
categorical__sector_Electricity Generation,0.004772379857065825
categorical__agency_North Western Railway [NWR],0.004581994340793
categorical__agency_Oil and Natural Gas Corporation Limited [ONGC],0.0038889922003169913
categorical__agency_Bharat Petroleum Corporation Limited [BPCL],0.0037447724726464957
categorical__sector_Transmission & Distribution,0.0034700181912592737
categorical__agency_Power Grid Corporation of India Limited [POWERGRID],0.003212097280524851
categorical__agency_Hindustan Petroleum Corporation Limited,0.0032116325125816224
categorical__agency_PCE/WR,0.00319103982752889
categorical__agency_North Central Railway,0.002937300047983662
categorical__agency_Ministry of Petroleum & Natural Gas,0.002251763439838306
categorical__ministry_Department of Telecommunications,0.0022266178876950335
categorical__agency_East Central Railway [ECR] - I,0.0017826512763400055
categorical__agency_Eastern Railway [ER] - I,0.001746728415851149
categorical__agency_Mahanadi Coalfields Limited (MCL),0.0017431587828909806
categorical__agency_Indian Railway Construction International Limited [IRCON],0.0017367201690879045
categorical__agency_Western Railway,0.0016646959741752167
categorical__sector_Coal,0.0016640626062876978
categorical__agency_SECR,0.0016400296444304778
